,timestamp,open,high,low,close,volume
0,2017-11-22,316.77,317.42,311.84,312.6,4890091
1,2017-11-21,310.86,318.23,308.71,317.81,7230570
2,2017-11-20,313.79,315.5,304.75,308.74,8247650
3,2017-11-17,325.67,326.67,313.15,315.05,13682753
4,2017-11-16,313.99,318.14,311.3,312.5,5793324
5,2017-11-15,306.01,312.49,301.5,311.3,5909055
6,2017-11-14,315.0,316.35,306.9,308.7,5661102
7,2017-11-13,300.13,316.8,299.11,315.4,7536669
8,2017-11-10,302.5,308.36,301.85,302.99,4600097
9,2017-11-09,302.5,304.46,296.3,302.99,5419497
10,2017-11-08,305.5,306.89,301.3,304.39,4725271
11,2017-11-07,301.02,306.5,300.03,306.05,5209573
12,2017-11-06,307.0,307.5,299.01,302.78,6463227
13,2017-11-03,299.5,306.25,295.13,306.09,8835157
14,2017-11-02,300.13,308.69,292.63,299.26,19731322
15,2017-11-01,332.25,332.61,320.26,321.08,7028856
16,2017-10-31,320.23,331.95,320.18,331.53,5532647
17,2017-10-30,319.18,323.78,317.25,320.08,4236029
18,2017-10-27,319.75,324.59,316.66,320.87,6942493
19,2017-10-26,327.78,330.23,323.2,326.17,4980316
20,2017-10-25,336.7,337.5,323.56,325.84,8547764
21,2017-10-24,338.8,342.8,336.16,337.34,4463807
22,2017-10-23,349.88,349.95,336.25,337.02,5715817
23,2017-10-20,352.69,354.55,344.34,345.1,4888221
24,2017-10-19,355.56,357.15,348.2,351.81,5032884
25,2017-10-18,355.97,363.0,354.13,359.65,4898808
26,2017-10-17,350.91,356.22,350.07,355.75,3280670
27,2017-10-16,353.76,354.48,347.16,350.6,5353262
28,2017-10-13,356.98,358.49,353.68,355.57,3528413
29,2017-10-12,352.95,359.78,352.64,355.68,4047318
30,2017-10-11,353.89,357.6,351.15,354.6,4476769
31,2017-10-10,346.8,355.63,345.53,355.59,6914972
32,2017-10-09,349.65,351.75,342.67,342.94,7406324
33,2017-10-06,353.1,360.1,352.25,356.88,4171789
34,2017-10-05,356.0,357.44,351.35,355.33,4102286
35,2017-10-04,351.25,358.62,349.6,355.01,8120353
36,2017-10-03,335.9,348.55,331.28,348.14,9981885
37,2017-10-02,342.52,343.7,335.51,341.53,4901453
38,2017-09-29,341.86,344.68,338.6,341.1,5062297
39,2017-09-28,339.88,342.75,335.4,339.6,5279310
40,2017-09-27,349.9,351.49,340.5,340.97,6010631
41,2017-09-26,350.93,351.24,340.9,345.25,7126550
42,2017-09-25,353.15,357.47,342.88,344.99,7542161
43,2017-09-22,366.49,369.9,350.88,351.09,8105653
44,2017-09-21,374.9,376.83,364.51,366.48,4605428
45,2017-09-20,373.0,378.25,371.07,373.91,4892872
46,2017-09-19,380.0,382.39,373.57,375.1,6256035
47,2017-09-18,380.25,389.61,377.68,385.0,7149295
48,2017-09-15,374.51,380.0,372.7,379.81,5338678
49,2017-09-14,364.33,377.96,362.63,377.64,7141663
50,2017-09-13,363.82,368.07,359.59,366.23,4161382
51,2017-09-12,364.49,368.76,360.4,362.75,5929289
52,2017-09-11,351.35,363.71,350.0,363.69,7627917
53,2017-09-08,348.99,349.78,342.3,343.4,3248803
54,2017-09-07,345.98,352.48,343.45,350.61,4219997
55,2017-09-06,349.5,350.98,341.56,344.53,4058983
