,timestamp,open,high,low,close,volume
56,2017-09-05,353.8,355.49,345.89,349.59,3813862
57,2017-09-01,356.12,357.59,353.69,355.4,3049546
58,2017-08-31,353.55,358.44,352.82,355.9,4072795
59,2017-08-30,349.67,353.47,347.0,353.18,3390055
60,2017-08-29,339.48,349.05,338.75,347.36,4032825
61,2017-08-28,347.28,347.35,339.72,345.66,3718108
62,2017-08-25,354.24,355.69,347.3,348.05,3461744
63,2017-08-24,352.52,356.66,349.74,352.93,4540652
64,2017-08-23,338.99,353.49,338.3,352.77,4914201
65,2017-08-22,341.13,342.24,337.37,341.35,4288367
66,2017-08-21,345.82,345.82,331.85,337.86,6458812
67,2017-08-18,352.91,354.0,345.8,347.46,5335793
68,2017-08-17,361.21,363.3,351.59,351.92,4969222
69,2017-08-16,363.0,366.5,362.52,362.91,3328576
70,2017-08-15,365.2,365.49,359.37,362.33,3048074
71,2017-08-14,364.63,367.66,362.6,363.8,4461215
72,2017-08-11,356.97,361.26,353.62,357.87,4318835
73,2017-08-10,361.6,366.65,354.66,355.4,7035192
74,2017-08-09,361.0,370.0,358.95,363.53,6847245
75,2017-08-08,357.53,368.58,357.4,365.22,7363033
76,2017-08-07,357.35,359.48,352.75,355.17,6265570
77,2017-08-04,347.0,357.27,343.3,356.91,9151520
78,2017-08-03,345.33,350.0,343.15,347.09,13448583
79,2017-08-02,318.94,327.12,311.22,325.89,9911432
80,2017-08-01,323.0,324.45,316.13,319.57,8247544
81,2017-07-31,335.5,341.49,321.04,323.47,8499335
82,2017-07-28,336.89,339.6,332.51,335.07,4841257
83,2017-07-27,346.0,347.5,326.29,334.46,8259202
84,2017-07-26,340.36,345.5,338.12,343.85,4750198
85,2017-07-25,345.0,345.6,334.15,339.6,6958889
86,2017-07-24,330.24,343.4,330.01,342.52,8552012
87,2017-07-21,329.46,331.26,325.8,328.4,4826383
88,2017-07-20,326.9,330.22,324.2,329.92,5098707
89,2017-07-19,328.23,331.65,323.22,325.26,6300735
90,2017-07-18,317.5,329.13,315.66,328.24,6326961
91,2017-07-17,325.54,327.1,313.45,319.57,9784200
92,2017-07-14,323.19,328.42,321.22,327.78,5590393
93,2017-07-13,330.11,331.6,319.97,323.41,8540442
94,2017-07-12,330.4,333.1,324.5,329.52,10297839
95,2017-07-11,316.0,327.28,314.3,327.22,11400054
96,2017-07-10,312.9,317.94,303.13,316.05,13702080
97,2017-07-07,313.5,317.0,307.38,313.22,14053750
98,2017-07-06,317.26,320.7899,306.3,308.83,19189195
99,2017-07-05,347.2,347.24,326.33,327.09,16883496
